Patient	cluster_id	sample_id	cellular_prevalence	cellular_prevalence_std	upper_95CI	lower_95CI	clonal
Patient482	3	Primary-v7	0.0031	0.0048	0.0127	-0.0065	FALSE
Patient482	3	Primary-v8	0.048	0.0118	0.0716	0.0244	FALSE
Patient482	3	Primary-v9	6e-04	0.0023	0.0052	-0.004	FALSE
Patient482	4	Primary-v1	8e-04	0.003	0.0068	-0.0052	FALSE
Patient482	4	Primary-v10	0.002	0.0043	0.0106	-0.0066	FALSE
Patient482	4	Primary-v2	5e-04	0.0024	0.0053	-0.0043	FALSE
Patient482	4	Primary-v3	0.2327	0.0344	0.3015	0.1639	FALSE
Patient482	4	Primary-v4	0.001	0.0033	0.0076	-0.0056	FALSE
Patient482	4	Primary-v5	0.1887	0.0304	0.2495	0.1279	FALSE
Patient482	4	Primary-v6	0.0021	0.0046	0.0113	-0.0071	FALSE
Patient482	4	Primary-v7	6e-04	0.0024	0.0054	-0.0042	FALSE
Patient482	4	Primary-v8	0.0171	0.0079	0.0329	0.0013	FALSE
Patient482	4	Primary-v9	0.0018	0.0042	0.0102	-0.0066	FALSE
Patient482	5	Primary-v1	0.0714	0.0139	0.0992	0.0436	FALSE
Patient482	5	Primary-v10	0.1376	0.0168	0.1712	0.104	FALSE
Patient482	5	Primary-v2	0	3e-04	6e-04	-6e-04	FALSE
Patient482	5	Primary-v3	0	6e-04	0.0012	-0.0012	FALSE
Patient482	5	Primary-v4	7e-04	0.0026	0.0059	-0.0045	FALSE
Patient482	5	Primary-v5	1e-04	0.0011	0.0023	-0.0021	FALSE
Patient482	5	Primary-v6	0.1688	0.0218	0.2124	0.1252	FALSE
Patient482	5	Primary-v7	0.0091	0.0039	0.0169	0.0013	FALSE
Patient482	5	Primary-v8	0.1033	0.0145	0.1323	0.0743	FALSE
Patient482	5	Primary-v9	0.1355	0.0159	0.1673	0.1037	FALSE
Patient482	6	Primary-v1	0.0156	0.0061	0.0278	0.0034	FALSE
Patient482	6	Primary-v10	0.3215	0.0224	0.3663	0.2767	FALSE
Patient482	6	Primary-v2	0.0033	0.0048	0.0129	-0.0063	FALSE
Patient482	6	Primary-v3	0.3626	0.0228	0.4082	0.317	FALSE
Patient482	6	Primary-v4	0.3461	0.0216	0.3893	0.3029	FALSE
Patient482	6	Primary-v5	0.3056	0.0213	0.3482	0.263	FALSE
Patient482	6	Primary-v6	0.1719	0.0178	0.2075	0.1363	FALSE
Patient482	6	Primary-v7	0.3881	0.0255	0.4391	0.3371	FALSE
Patient482	6	Primary-v8	0.4	0.0253	0.4506	0.3494	FALSE
Patient482	6	Primary-v9	0.1437	0.0177	0.1791	0.1083	FALSE
Patient482	7	Primary-v1	1e-04	9e-04	0.0019	-0.0017	FALSE
Patient482	7	Primary-v10	0	5e-04	0.001	-0.001	FALSE
Patient482	7	Primary-v2	0.541	0.0357	0.6124	0.4696	FALSE
Patient482	7	Primary-v3	5e-04	0.0023	0.0051	-0.0041	FALSE
Patient482	7	Primary-v4	0.0173	0.0073	0.0319	0.0027	FALSE
Patient482	7	Primary-v5	0.2437	0.0232	0.2901	0.1973	FALSE
Patient482	7	Primary-v6	3e-04	0.0017	0.0037	-0.0031	FALSE
Patient482	7	Primary-v7	0	7e-04	0.0014	-0.0014	FALSE
Patient482	7	Primary-v8	0	4e-04	8e-04	-8e-04	FALSE
Patient482	7	Primary-v9	0	4e-04	8e-04	-8e-04	FALSE
Patient482	8	Primary-v1	0.4509	0.0972	0.6453	0.2565	FALSE
Patient482	8	Primary-v10	0.3806	0.0937	0.568	0.1932	FALSE
Patient482	8	Primary-v2	0.3273	0.0874	0.5021	0.1525	FALSE
Patient482	8	Primary-v3	0.7518	0.1073	0.9664	0.5372	FALSE
Patient482	8	Primary-v4	0.5756	0.0983	0.7722	0.379	FALSE
Patient482	8	Primary-v5	0.6315	0.1012	0.8339	0.4291	FALSE
Patient482	8	Primary-v6	0.4138	0.0956	0.605	0.2226	FALSE
Patient482	8	Primary-v7	0.604	0.0945	0.793	0.415	FALSE
Patient482	8	Primary-v8	0.4508	0.097	0.6448	0.2568	FALSE
Patient482	8	Primary-v9	0.5549	0.0904	0.7357	0.3741	FALSE
Patient482	9	Primary-v1	0	1e-04	2e-04	-2e-04	FALSE
Patient482	9	Primary-v10	0	0	0	0	FALSE
Patient482	9	Primary-v2	0	0	0	0	FALSE
Patient482	9	Primary-v3	0	0	0	0	FALSE
Patient482	9	Primary-v4	0.2325	0.0173	0.2671	0.1979	FALSE
Patient482	9	Primary-v5	0	0	0	0	FALSE
Patient482	9	Primary-v6	0	0	0	0	FALSE
Patient482	9	Primary-v7	0.1268	0.0116	0.15	0.1036	FALSE
Patient482	9	Primary-v8	0	0	0	0	FALSE
Patient482	9	Primary-v9	0	0	0	0	FALSE
Patient485	1	Primary-v1	0	5e-04	0.001	-0.001	FALSE
Patient485	1	Primary-v2	0.157	0.0179	0.1928	0.1212	FALSE
Patient485	1	Primary-v3	0.0013	0.0035	0.0083	-0.0057	FALSE
Patient485	1	Primary-v4	0.2484	0.0231	0.2946	0.2022	FALSE
Patient485	1	Primary-v5	0.835	0.0313	0.8976	0.7724	FALSE
Patient485	1	Primary-v6	0.3468	0.0287	0.4042	0.2894	FALSE
Patient485	1	Primary-v7	0.2138	0.0232	0.2602	0.1674	FALSE
Patient485	1	Primary-v8	0.0442	0.0088	0.0618	0.0266	FALSE
Patient485	1	Primary-v9	0.689	0.0213	0.7316	0.6464	FALSE
Patient485	2	Primary-v1	0.0084	0.0046	0.0176	-8e-04	FALSE
Patient485	2	Primary-v2	0.013	0.0051	0.0232	0.0028	FALSE
Patient485	2	Primary-v3	0.0124	0.0046	0.0216	0.0032	FALSE
Patient485	2	Primary-v4	0.0366	0.009	0.0546	0.0186	FALSE
Patient485	2	Primary-v5	0.01	0.0029	0.0158	0.0042	FALSE
Patient485	2	Primary-v6	0.053	0.0111	0.0752	0.0308	FALSE
Patient485	2	Primary-v7	0.0392	0.01	0.0592	0.0192	FALSE
Patient485	2	Primary-v8	0.0098	0.0035	0.0168	0.0028	FALSE
Patient485	2	Primary-v9	0.0118	0.004	0.0198	0.0038	FALSE
Patient485	3	Primary-v1	1e-04	0.0012	0.0025	-0.0023	FALSE
Patient485	3	Primary-v2	2e-04	0.0014	0.003	-0.0026	FALSE
Patient485	3	Primary-v3	2e-04	0.0014	0.003	-0.0026	FALSE
Patient485	3	Primary-v4	0.3865	0.0333	0.4531	0.3199	FALSE
Patient485	3	Primary-v5	0.0123	0.0047	0.0217	0.0029	FALSE
Patient485	3	Primary-v6	0.1432	0.0216	0.1864	0.1	FALSE
Patient485	3	Primary-v7	0.3817	0.032	0.4457	0.3177	FALSE
Patient485	3	Primary-v8	1e-04	8e-04	0.0017	-0.0015	FALSE
Patient485	3	Primary-v9	0.0204	0.0082	0.0368	0.004	FALSE
Patient485	4	Primary-v1	0	3e-04	6e-04	-6e-04	FALSE
Patient485	4	Primary-v2	1e-04	9e-04	0.0019	-0.0017	FALSE
Patient485	4	Primary-v3	1e-04	8e-04	0.0017	-0.0015	FALSE
Patient485	4	Primary-v4	0.0164	0.0061	0.0286	0.0042	FALSE
Patient485	4	Primary-v5	0	4e-04	8e-04	-8e-04	FALSE
Patient485	4	Primary-v6	0.0461	0.01	0.0661	0.0261	FALSE
Patient485	4	Primary-v7	0.0014	0.0035	0.0084	-0.0056	FALSE
Patient485	4	Primary-v8	3e-04	0.0016	0.0035	-0.0029	FALSE
Patient485	4	Primary-v9	0.4902	0.0276	0.5454	0.435	FALSE
Patient485	5	Primary-v1	0.0011	0.0036	0.0083	-0.0061	FALSE
Patient485	5	Primary-v2	0.001	0.0034	0.0078	-0.0058	FALSE
Patient485	5	Primary-v3	0.001	0.0034	0.0078	-0.0058	FALSE
Patient485	5	Primary-v4	0.0053	0.0063	0.0179	-0.0073	FALSE
Patient485	5	Primary-v5	0.3729	0.0405	0.4539	0.2919	FALSE
Patient485	5	Primary-v6	7e-04	0.0027	0.0061	-0.0047	FALSE
Patient485	5	Primary-v7	0.0027	0.005	0.0127	-0.0073	FALSE
Patient485	5	Primary-v8	6e-04	0.0026	0.0058	-0.0046	FALSE
Patient485	5	Primary-v9	0.0017	0.0041	0.0099	-0.0065	FALSE
Patient485	6	Primary-v1	0	2e-04	4e-04	-4e-04	FALSE
Patient485	6	Primary-v2	0.1263	0.0122	0.1507	0.1019	FALSE
Patient485	6	Primary-v3	0	1e-04	2e-04	-2e-04	FALSE
Patient485	6	Primary-v4	0.7836	0.0213	0.8262	0.741	FALSE
Patient485	6	Primary-v5	0.8869	0.0262	0.9393	0.8345	FALSE
Patient485	6	Primary-v6	0.6557	0.022	0.6997	0.6117	FALSE
Patient485	6	Primary-v7	0.8458	0.0196	0.885	0.8066	FALSE
Patient485	6	Primary-v8	0.0516	0.0073	0.0662	0.037	FALSE
Patient485	6	Primary-v9	0.4997	0.0159	0.5315	0.4679	FALSE
Patient485	7	Primary-v1	0	0	0	0	TRUE
Patient485	7	Primary-v2	0.1461	0.0127	0.1715	0.1207	TRUE
Patient485	7	Primary-v3	0	0	0	0	TRUE
Patient485	7	Primary-v4	0.8074	0.0223	0.852	0.7628	TRUE
Patient485	7	Primary-v5	0.8674	0.0201	0.9076	0.8272	TRUE
Patient485	7	Primary-v6	0.6616	0.0206	0.7028	0.6204	TRUE
Patient485	7	Primary-v7	0.8413	0.02	0.8813	0.8013	TRUE
Patient485	7	Primary-v8	0.0481	0.0067	0.0615	0.0347	TRUE
Patient485	7	Primary-v9	0.8634	0.0197	0.9028	0.824	TRUE
Patient276	1	Recurrence1v1	0.2739	0.0287	0.3313	0.2165	FALSE
Patient276	1	Recurrence1v2	0.0067	0.0065	0.0197	-0.0063	FALSE
Patient276	1	Recurrence1v3	2e-04	0.0015	0.0032	-0.0028	FALSE
Patient276	1	Recurrence1v4	2e-04	0.0015	0.0032	-0.0028	FALSE
Patient276	1	Recurrence1v5	4e-04	0.002	0.0044	-0.0036	FALSE
Patient276	1	Recurrence1v6	5e-04	0.0022	0.0049	-0.0039	FALSE
Patient276	2	Recurrence1v1	0.7109	0.0231	0.7571	0.6647	FALSE
Patient276	2	Recurrence1v2	0.8539	0.0247	0.9033	0.8045	FALSE
Patient276	2	Recurrence1v3	0	1e-04	2e-04	-2e-04	FALSE
Patient276	2	Recurrence1v4	0	0	0	0	FALSE
Patient276	2	Recurrence1v5	0	1e-04	2e-04	-2e-04	FALSE
Patient276	2	Recurrence1v6	0	1e-04	2e-04	-2e-04	FALSE
Patient276	3	Recurrence1v1	0	0	0	0	FALSE
Patient276	3	Recurrence1v2	0	0	0	0	FALSE
Patient276	3	Recurrence1v3	0.0114	0.0033	0.018	0.0048	FALSE
Patient276	3	Recurrence1v4	0.0777	0.0074	0.0925	0.0629	FALSE
Patient276	3	Recurrence1v5	0.082	0.008	0.098	0.066	FALSE
Patient276	3	Recurrence1v6	0.0588	0.0071	0.073	0.0446	FALSE
Patient276	4	Recurrence1v1	1e-04	8e-04	0.0017	-0.0015	FALSE
Patient276	4	Recurrence1v2	0	6e-04	0.0012	-0.0012	FALSE
Patient276	4	Recurrence1v3	0.1945	0.0236	0.2417	0.1473	FALSE
Patient276	4	Recurrence1v4	0.264	0.0268	0.3176	0.2104	FALSE
Patient276	4	Recurrence1v5	0.5333	0.034	0.6013	0.4653	FALSE
Patient276	4	Recurrence1v6	0.2892	0.0322	0.3536	0.2248	FALSE
Patient276	5	Recurrence1v1	0	2e-04	4e-04	-4e-04	FALSE
Patient276	5	Recurrence1v2	0	2e-04	4e-04	-4e-04	FALSE
Patient276	5	Recurrence1v3	0.8774	0.0268	0.931	0.8238	FALSE
Patient276	5	Recurrence1v4	0.8049	0.0274	0.8597	0.7501	FALSE
Patient276	5	Recurrence1v5	0.9363	0.0283	0.9929	0.8797	FALSE
Patient276	5	Recurrence1v6	0.8455	0.029	0.9035	0.7875	FALSE
Patient276	6	Recurrence1v1	0.9185	0.0163	0.9511	0.8859	TRUE
Patient276	6	Recurrence1v2	0.914	0.0169	0.9478	0.8802	TRUE
Patient276	6	Recurrence1v3	0.9199	0.0163	0.9525	0.8873	TRUE
Patient276	6	Recurrence1v4	0.8103	0.0166	0.8435	0.7771	TRUE
Patient276	6	Recurrence1v5	0.9218	0.0172	0.9562	0.8874	TRUE
Patient276	6	Recurrence1v6	0.8488	0.0177	0.8842	0.8134	TRUE
Patient276	7	Recurrence1v1	0.0154	0.0072	0.0298	0.001	FALSE
Patient276	7	Recurrence1v2	0.4576	0.0423	0.5422	0.373	FALSE
Patient276	7	Recurrence1v3	3e-04	0.0019	0.0041	-0.0035	FALSE
Patient276	7	Recurrence1v4	0.0035	0.0054	0.0143	-0.0073	FALSE
Patient276	7	Recurrence1v5	7e-04	0.0027	0.0061	-0.0047	FALSE
Patient276	7	Recurrence1v6	4e-04	0.0021	0.0046	-0.0038	FALSE
Patient276	8	Recurrence1v1	0.3673	0.0653	0.4979	0.2367	FALSE
Patient276	8	Recurrence1v2	0.3297	0.0674	0.4645	0.1949	FALSE
Patient276	8	Recurrence1v3	0.4912	0.0683	0.6278	0.3546	FALSE
Patient276	8	Recurrence1v4	0.5538	0.0705	0.6948	0.4128	FALSE
Patient276	8	Recurrence1v5	0.4261	0.065	0.5561	0.2961	FALSE
Patient276	8	Recurrence1v6	0.5106	0.0677	0.646	0.3752	FALSE
Patient458	1	Primary-v1	0	1e-04	2e-04	-2e-04	FALSE
Patient458	1	Primary-v10	0	0	0	0	FALSE
Patient458	1	Primary-v11	0.565	0.0246	0.6142	0.5158	FALSE
Patient458	1	Primary-v12	0.7872	0.0256	0.8384	0.736	FALSE
Patient458	1	Primary-v2	0.6997	0.0255	0.7507	0.6487	FALSE
Patient458	1	Primary-v3	0.0546	0.0087	0.072	0.0372	FALSE
Patient458	1	Primary-v4	0.8498	0.0261	0.902	0.7976	FALSE
Patient458	1	Primary-v5	0.4743	0.0232	0.5207	0.4279	FALSE
Patient458	1	Primary-v6	0.4893	0.0238	0.5369	0.4417	FALSE
Patient458	1	Primary-v7	0	1e-04	2e-04	-2e-04	FALSE
Patient458	1	Primary-v8	0	0	0	0	FALSE
Patient458	1	Primary-v9	0	1e-04	2e-04	-2e-04	FALSE
Patient458	2	Primary-v1	1e-04	9e-04	0.0019	-0.0017	FALSE
Patient458	2	Primary-v10	0.0093	0.0047	0.0187	-0.000100000000000001	FALSE
Patient458	2	Primary-v11	0.0061	0.0053	0.0167	-0.0045	FALSE
Patient458	2	Primary-v12	0.2686	0.023	0.3146	0.2226	FALSE
Patient458	2	Primary-v2	6e-04	0.0024	0.0054	-0.0042	FALSE
Patient458	2	Primary-v3	0.098	0.0184	0.1348	0.0612	FALSE
Patient458	2	Primary-v4	0.0087	0.0048	0.0183	-9e-04	FALSE
Patient458	2	Primary-v5	0.0211	0.007	0.0351	0.0071	FALSE
Patient458	2	Primary-v6	0.0111	0.0061	0.0233	-0.0011	FALSE
Patient458	2	Primary-v7	0.0064	0.0053	0.017	-0.0042	FALSE
Patient458	2	Primary-v8	0	5e-04	0.001	-0.001	FALSE
Patient458	2	Primary-v9	5e-04	0.0022	0.0049	-0.0039	FALSE
Patient458	3	Primary-v1	0.1614	0.0142	0.1898	0.133	TRUE
Patient458	3	Primary-v10	0.49	0.0246	0.5392	0.4408	TRUE
Patient458	3	Primary-v11	0.6931	0.0267	0.7465	0.6397	TRUE
Patient458	3	Primary-v12	0.7838	0.0253	0.8344	0.7332	TRUE
Patient458	3	Primary-v2	0.6874	0.0264	0.7402	0.6346	TRUE
Patient458	3	Primary-v3	0.0836	0.0101	0.1038	0.0634	TRUE
Patient458	3	Primary-v4	0.722	0.0191	0.7602	0.6838	TRUE
Patient458	3	Primary-v5	0.4908	0.0225	0.5358	0.4458	TRUE
Patient458	3	Primary-v6	0.5114	0.0227	0.5568	0.466	TRUE
Patient458	3	Primary-v7	0.5894	0.0233	0.636	0.5428	TRUE
Patient458	3	Primary-v8	0.8033	0.0253	0.8539	0.7527	TRUE
Patient458	3	Primary-v9	0.8686	0.0269	0.9224	0.8148	TRUE
Patient458	4	Primary-v1	0.0585	0.0183	0.0951	0.0219	FALSE
Patient458	4	Primary-v10	0.4852	0.0469	0.579	0.3914	FALSE
Patient458	4	Primary-v11	4e-04	0.002	0.0044	-0.0036	FALSE
Patient458	4	Primary-v12	3e-04	0.0019	0.0041	-0.0035	FALSE
Patient458	4	Primary-v2	0.005	0.0062	0.0174	-0.0074	FALSE
Patient458	4	Primary-v3	0.0146	0.0077	0.03	-8e-04	FALSE
Patient458	4	Primary-v4	3e-04	0.0018	0.0039	-0.0033	FALSE
Patient458	4	Primary-v5	0.006	0.0065	0.019	-0.007	FALSE
Patient458	4	Primary-v6	0.0057	0.0066	0.0189	-0.0075	FALSE
Patient458	4	Primary-v7	0.5895	0.0426	0.6747	0.5043	FALSE
Patient458	4	Primary-v8	0.7815	0.0537	0.8889	0.6741	FALSE
Patient458	4	Primary-v9	0.8532	0.0446	0.9424	0.764	FALSE
Patient458	5	Primary-v1	0	0	0	0	FALSE
Patient458	5	Primary-v10	0.0026	0.0045	0.0116	-0.0064	FALSE
Patient458	5	Primary-v11	0	1e-04	2e-04	-2e-04	FALSE
Patient458	5	Primary-v12	0	1e-04	2e-04	-2e-04	FALSE
Patient458	5	Primary-v2	0.0027	0.0046	0.0119	-0.0065	FALSE
Patient458	5	Primary-v3	1e-04	0.001	0.0021	-0.0019	FALSE
Patient458	5	Primary-v4	0	0	0	0	FALSE
Patient458	5	Primary-v5	0.0102	0.0037	0.0176	0.0028	FALSE
Patient458	5	Primary-v6	0	1e-04	2e-04	-2e-04	FALSE
Patient458	5	Primary-v7	0	2e-04	4e-04	-4e-04	FALSE
Patient458	5	Primary-v8	0.16	0.0181	0.1962	0.1238	FALSE
Patient458	5	Primary-v9	0.0038	0.0051	0.014	-0.0064	FALSE
Patient458	6	Primary-v1	0.1136	0.0173	0.1482	0.079	FALSE
Patient458	6	Primary-v10	0.4817	0.0422	0.5661	0.3973	FALSE
Patient458	6	Primary-v11	0.5793	0.0254	0.6301	0.5285	FALSE
Patient458	6	Primary-v12	0.8071	0.0365	0.8801	0.7341	FALSE
Patient458	6	Primary-v2	0.6917	0.0376	0.7669	0.6165	FALSE
Patient458	6	Primary-v3	0.0529	0.0118	0.0765	0.0293	FALSE
Patient458	6	Primary-v4	0.8694	0.0337	0.9368	0.802	FALSE
Patient458	6	Primary-v5	0.5127	0.0329	0.5785	0.4469	FALSE
Patient458	6	Primary-v6	0.4844	0.033	0.5504	0.4184	FALSE
Patient458	6	Primary-v7	0.565	0.0288	0.6226	0.5074	FALSE
Patient458	6	Primary-v8	0.6411	0.0292	0.6995	0.5827	FALSE
Patient458	6	Primary-v9	0.9027	0.0279	0.9585	0.8469	FALSE
Patient458	7	Primary-v1	1e-04	0.001	0.0021	-0.0019	FALSE
Patient458	7	Primary-v10	0.0036	0.0053	0.0142	-0.007	FALSE
Patient458	7	Primary-v11	0.4075	0.0351	0.4777	0.3373	FALSE
Patient458	7	Primary-v12	0	5e-04	0.001	-0.001	FALSE
Patient458	7	Primary-v2	0	6e-04	0.0012	-0.0012	FALSE
Patient458	7	Primary-v3	6e-04	0.0024	0.0054	-0.0042	FALSE
Patient458	7	Primary-v4	0	5e-04	0.001	-0.001	FALSE
Patient458	7	Primary-v5	2e-04	0.0016	0.0034	-0.003	FALSE
Patient458	7	Primary-v6	1e-04	9e-04	0.0019	-0.0017	FALSE
Patient458	7	Primary-v7	1e-04	0.001	0.0021	-0.0019	FALSE
Patient458	7	Primary-v8	7e-04	0.0027	0.0061	-0.0047	FALSE
Patient458	7	Primary-v9	0.0013	0.0036	0.0085	-0.0059	FALSE
Patient458	8	Primary-v1	0	7e-04	0.0014	-0.0014	FALSE
Patient458	8	Primary-v10	0.4573	0.0279	0.5131	0.4015	FALSE
Patient458	8	Primary-v11	0	3e-04	6e-04	-6e-04	FALSE
Patient458	8	Primary-v12	0	2e-04	4e-04	-4e-04	FALSE
Patient458	8	Primary-v2	0	2e-04	4e-04	-4e-04	FALSE
Patient458	8	Primary-v3	0	3e-04	6e-04	-6e-04	FALSE
Patient458	8	Primary-v4	0	2e-04	4e-04	-4e-04	FALSE
Patient458	8	Primary-v5	1e-04	8e-04	0.0017	-0.0015	FALSE
Patient458	8	Primary-v6	0	4e-04	8e-04	-8e-04	FALSE
Patient458	8	Primary-v7	0.4955	0.032	0.5595	0.4315	FALSE
Patient458	8	Primary-v8	0.0152	0.006	0.0272	0.0032	FALSE
Patient458	8	Primary-v9	0.8103	0.0363	0.8829	0.7377	FALSE
Patient470	1	Primary-v10	1e-04	9e-04	0.0019	-0.0017	FALSE
Patient470	1	Primary-v11	6e-04	0.0024	0.0054	-0.0042	FALSE
Patient470	1	Primary-v2	0	6e-04	0.0012	-0.0012	FALSE
Patient470	1	Primary-v3	1e-04	9e-04	0.0019	-0.0017	FALSE
Patient470	1	Primary-v4	1e-04	0.0011	0.0023	-0.0021	FALSE
Patient470	1	Primary-v5	0	7e-04	0.0014	-0.0014	FALSE
Patient470	1	Primary-v6	0	5e-04	0.001	-0.001	FALSE
Patient470	1	Primary-v7	0	4e-04	8e-04	-8e-04	FALSE
Patient470	1	Primary-v8	0.3858	0.0303	0.4464	0.3252	FALSE
Patient470	1	Primary-v9	0	6e-04	0.0012	-0.0012	FALSE
Patient470	2	Primary-v10	0.0056	0.0052	0.016	-0.0048	FALSE
Patient470	2	Primary-v11	0.0397	0.0091	0.0579	0.0215	FALSE
Patient470	2	Primary-v2	6e-04	0.0023	0.0052	-0.004	FALSE
Patient470	2	Primary-v3	0.0114	0.0037	0.0188	0.004	FALSE
Patient470	2	Primary-v4	1e-04	0.001	0.0021	-0.0019	FALSE
Patient470	2	Primary-v5	0.0183	0.0064	0.0311	0.0055	FALSE
Patient470	2	Primary-v6	0	3e-04	6e-04	-6e-04	FALSE
Patient470	2	Primary-v7	0.0087	0.0039	0.0165	9e-04	FALSE
Patient470	2	Primary-v8	2e-04	0.0013	0.0028	-0.0024	FALSE
Patient470	2	Primary-v9	0.0061	0.0054	0.0169	-0.0047	FALSE
Patient470	3	Primary-v10	0.0146	0.0074	0.0294	-0.000200000000000001	FALSE
Patient470	3	Primary-v11	7e-04	0.0027	0.0061	-0.0047	FALSE
Patient470	3	Primary-v2	0.1889	0.0219	0.2327	0.1451	FALSE
Patient470	3	Primary-v3	0.041	0.0123	0.0656	0.0164	FALSE
Patient470	3	Primary-v4	2e-04	0.0013	0.0028	-0.0024	FALSE
Patient470	3	Primary-v5	0.3777	0.03	0.4377	0.3177	FALSE
Patient470	3	Primary-v6	0.0103	0.0038	0.0179	0.0027	FALSE
Patient470	3	Primary-v7	0.0097	0.006	0.0217	-0.0023	FALSE
Patient470	3	Primary-v8	4e-04	0.0019	0.0042	-0.0034	FALSE
Patient470	3	Primary-v9	3e-04	0.0019	0.0041	-0.0035	FALSE
Patient470	4	Primary-v10	0.3111	0.0307	0.3725	0.2497	FALSE
Patient470	4	Primary-v11	0.0149	0.0067	0.0283	0.0015	FALSE
Patient470	4	Primary-v2	0.6705	0.0376	0.7457	0.5953	FALSE
Patient470	4	Primary-v3	0.5979	0.0378	0.6735	0.5223	FALSE
Patient470	4	Primary-v4	0.0488	0.0127	0.0742	0.0234	FALSE
Patient470	4	Primary-v5	0.5501	0.0358	0.6217	0.4785	FALSE
Patient470	4	Primary-v6	0.5893	0.0357	0.6607	0.5179	FALSE
Patient470	4	Primary-v7	0.2426	0.025	0.2926	0.1926	FALSE
Patient470	4	Primary-v8	0.5603	0.0355	0.6313	0.4893	FALSE
Patient470	4	Primary-v9	0.3999	0.0315	0.4629	0.3369	FALSE
Patient470	5	Primary-v10	0.036	0.0111	0.0582	0.0138	FALSE
Patient470	5	Primary-v11	1e-04	9e-04	0.0019	-0.0017	FALSE
Patient470	5	Primary-v2	0	6e-04	0.0012	-0.0012	FALSE
Patient470	5	Primary-v3	1e-04	8e-04	0.0017	-0.0015	FALSE
Patient470	5	Primary-v4	0.4618	0.0334	0.5286	0.395	FALSE
Patient470	5	Primary-v5	0.0053	0.0053	0.0159	-0.0053	FALSE
Patient470	5	Primary-v6	1e-04	0.0012	0.0025	-0.0023	FALSE
Patient470	5	Primary-v7	0	5e-04	0.001	-0.001	FALSE
Patient470	5	Primary-v8	4e-04	0.0019	0.0042	-0.0034	FALSE
Patient470	5	Primary-v9	0.005	0.0061	0.0172	-0.0072	FALSE
Patient470	6	Primary-v10	0.0411	0.0112	0.0635	0.0187	FALSE
Patient470	6	Primary-v11	1e-04	0.0011	0.0023	-0.0021	FALSE
Patient470	6	Primary-v2	0.0117	0.0061	0.0239	-5e-04	FALSE
Patient470	6	Primary-v3	0.0454	0.0122	0.0698	0.021	FALSE
Patient470	6	Primary-v4	2e-04	0.0013	0.0028	-0.0024	FALSE
Patient470	6	Primary-v5	0.0082	0.006	0.0202	-0.0038	FALSE
Patient470	6	Primary-v6	0.4675	0.0341	0.5357	0.3993	FALSE
Patient470	6	Primary-v7	0.0167	0.007	0.0307	0.0027	FALSE
Patient470	6	Primary-v8	0.0529	0.0137	0.0803	0.0255	FALSE
Patient470	6	Primary-v9	4e-04	0.002	0.0044	-0.0036	FALSE
Patient470	7	Primary-v10	0.262	0.0871	0.4362	0.0878	FALSE
Patient470	7	Primary-v11	0.1124	0.0566	0.2256	-0.000799999999999995	FALSE
Patient470	7	Primary-v2	0.143	0.0563	0.2556	0.0304	FALSE
Patient470	7	Primary-v3	0.0933	0.0556	0.2045	-0.0179	FALSE
Patient470	7	Primary-v4	0.2356	0.0932	0.422	0.0492	FALSE
Patient470	7	Primary-v5	0.0466	0.0339	0.1144	-0.0212	FALSE
Patient470	7	Primary-v6	0.1908	0.0663	0.3234	0.0582	FALSE
Patient470	7	Primary-v7	0.1718	0.0703	0.3124	0.0312	FALSE
Patient470	7	Primary-v8	0.1512	0.0638	0.2788	0.0236	FALSE
Patient470	7	Primary-v9	0.2342	0.0783	0.3908	0.0776	FALSE
Patient470	8	Primary-v10	0.4994	0.0257	0.5508	0.448	TRUE
Patient470	8	Primary-v11	0.0759	0.0131	0.1021	0.0497	TRUE
Patient470	8	Primary-v2	0.6178	0.0253	0.6684	0.5672	TRUE
Patient470	8	Primary-v3	0.6004	0.0261	0.6526	0.5482	TRUE
Patient470	8	Primary-v4	0.733	0.0275	0.788	0.678	TRUE
Patient470	8	Primary-v5	0.5608	0.0274	0.6156	0.506	TRUE
Patient470	8	Primary-v6	0.6112	0.0246	0.6604	0.562	TRUE
Patient470	8	Primary-v7	0.2397	0.0178	0.2753	0.2041	TRUE
Patient470	8	Primary-v8	0.5124	0.024	0.5604	0.4644	TRUE
Patient470	8	Primary-v9	0.7243	0.0258	0.7759	0.6727	TRUE
Patient490	1	Primary-v1	0.7764	0.0437	0.8638	0.689	FALSE
Patient490	1	Primary-v10	0.6702	0.0363	0.7428	0.5976	FALSE
Patient490	1	Primary-v2	0.0116	0.0057	0.023	0.000199999999999999	FALSE
Patient490	1	Primary-v3	0.3292	0.0305	0.3902	0.2682	FALSE
Patient490	1	Primary-v4	0.7408	0.0455	0.8318	0.6498	FALSE
Patient490	1	Primary-v5	0.6066	0.0359	0.6784	0.5348	FALSE
Patient490	1	Primary-v6	0.8124	0.032	0.8764	0.7484	FALSE
Patient490	1	Primary-v7	0.7699	0.0459	0.8617	0.6781	FALSE
Patient490	1	Primary-v8	0.6385	0.0377	0.7139	0.5631	FALSE
Patient490	1	Primary-v9	0.5919	0.0373	0.6665	0.5173	FALSE
Patient490	2	Primary-v1	4e-04	0.0021	0.0046	-0.0038	FALSE
Patient490	2	Primary-v10	0.021	0.0079	0.0368	0.0052	FALSE
